phase,steps,lr,image_list,elapsed_sec
phase2,600,0.0001,kmc_lora\artifacts\dreambooth_mixed\split_phases\D-Sub-25\phase2.txt,209.5
phase3_replay,200,2e-05,kmc_lora\results\scale_aware_multidataset_v1\dreambooth_mixed\scale-aware-v1_D-Sub-25_seed42\phase3_replay.txt,74.2
