phase,steps,lr,image_list,elapsed_sec
phase2,900,0.0001,kmc_lora\artifacts\wikiart_mixed\split_phases\D-Low\phase2.txt,321.9
phase3_replay,300,2e-05,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-Low_seed42\phase3_replay.txt,113.3
