phase,steps,lr,image_list,elapsed_sec
phase2,600,0.0001,kmc_lora\artifacts\dreambooth_mixed\split_phases\D-Low\phase2.txt,197.4
phase3_replay,200,2e-05,kmc_lora\results\scale_aware_multidataset_v1\dreambooth_mixed\p2-p3-replay_D-Low_seed82\phase3_replay.txt,74.2
