phase,steps,lr,image_list,elapsed_sec
phase2,900,0.0001,kmc_lora\artifacts\split_phases\D-Sub-25\phase2.txt,589.3
phase3_replay,300,2e-05,kmc_lora\results\scale_aware_paper_v1\p2-p3-replay_D-Sub-25_seed52\phase3_replay.txt,198.2
