dataset,strategy,split,n,fid_mean,fid_std,fid_min,fid_max,clip_mean,clip_std,fid_cv_pct
anime_student,HAC_D-Medium,D-Medium,9,239.13186666666667,14.278163989725705,220.6637,252.368,0.30333333333333334,0.0030744918279286483,5.97083282489844
anime_student,Random_D-Medium,D-Medium,9,223.57183333333333,12.780652707021662,214.1512,240.5798,0.2999,0.008190238091777286,5.716575525847396
