dataset,rho,rho_ci_low,rho_ci_high,rho_std,p_value,n
anime_student,0.7026365514411755,0.20748065561938722,0.9055900621118013,0.17957333352190194,0.0016581753034944971,17
wikiart_mixed,-0.043077322754765855,-0.656261773723822,0.5563425020764174,0.31280471071619587,0.8696061207503175,17
dreambooth_mixed,-0.42111796397193313,-0.8781758269762147,0.14046675414316412,0.2660998397598394,0.09229711862480358,17
dreambooth_single,0.5337427330670586,-0.0506814207049834,0.9221267948802486,0.27684908042083706,0.027335496939035746,17
