dataset,r,r_ci_low,r_ci_high,r_std,p_value,n
anime_student,0.718398180907271,0.5084373290156949,0.9196668300362999,0.10916742915586428,0.0011599417815268069,17
wikiart_mixed,0.02529072200507068,-0.7794931944374431,0.7206343854851771,0.40175781658255444,0.9232439946496338,17
dreambooth_mixed,-0.5030464816502552,-0.9672910781403331,-0.054403253722449675,0.22943582996270198,0.03956060937933722,17
dreambooth_single,-0.6532018852613417,-0.889534527539685,0.9347800343734829,0.7455329454481306,0.00446597729354858,17
