split,selected_method,selected_mean_fid,selected_std_fid,best_single_method,best_single_mean_fid,best_single_std_fid,delta_vs_best_single
D-High,p2-only,190.93562,14.481488287361904,p2-only,190.93562,14.481488287361904,0.0
D-Medium,p2-only,194.73597999999998,18.59337792459993,p2-only,194.73597999999998,18.59337792459993,0.0
D-Low,p3-only-long,236.33708000000001,3.174123860532237,p3-only-long,236.33708000000001,3.174123860532237,0.0
D-Sub-50,p2-p3-replay,274.52832,22.413488761167894,p2-only,275.32952,29.578596506291507,-0.8011999999999944
D-Sub-25,p2-p3-replay,322.06292,16.6156945761229,p2-only,327.34734,15.606835114077414,-5.284419999999955
