phase,steps,lr,image_list,elapsed_sec
phase2,225,0.0001,kmc_lora\artifacts\split_phases\D-Sub-25\phase2.txt,164.4
phase3_replay,75,2e-05,kmc_lora\results\refinement_screening_round3\p2-p3-replay_D-Sub-25_seed42\phase3_replay.txt,59.9
