dataset,strategy,split,n,fid_mean,fid_std,fid_min,fid_max,clip_mean,clip_std,fid_cv_pct
dreambooth_single,HAC_D-High,D-High,6,125.85413333333334,3.881093481309956,121.3524,130.0101,0.2770333333333333,0.004021276745844104,3.083802953877258
dreambooth_single,Random_D-High,D-High,6,108.89603333333332,11.64070092059179,94.5001,119.829,0.27453333333333335,0.0023602259778814816,10.689738243228135
