phase,steps,lr,image_list,elapsed_sec
phase2,900,0.0001,kmc_lora\artifacts\wikiart_mixed\split_phases\D-Sub-25\phase2.txt,317.7
phase3_replay,300,2e-05,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-Sub-25_seed72\phase3_replay.txt,114.9
