phase,steps,lr,image_list,elapsed_sec
phase2,225,0.0001,kmc_lora\artifacts\split_phases\D-Sub-25\phase2.txt,164.7
phase3,75,2e-05,kmc_lora\artifacts\split_phases\D-Sub-25\phase3.txt,58.5
