phase,steps,lr,image_list,elapsed_sec
phase2,12,0.0001,kmc_lora\artifacts\split_phases\D-Sub-25\phase2.txt,29.3
phase3_replay,8,2e-05,kmc_lora\results\refinement_search\smoke_p2-p3-replay_D-Sub-25_seed42\phase3_replay.txt,26.9
