phase,steps,lr,image_list,elapsed_sec
phase2,225,0.0001,kmc_lora\artifacts\split_phases\D-Medium\phase2.txt,168.8
phase3_replay,75,2e-05,kmc_lora\results\refinement_screening_round4\p2-p3-replay_D-Medium_seed42\phase3_replay.txt,64.9
