experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Ablation_NoP2_P3,ok,0,2026-03-17T14:10:07.910163,2026-03-17T14:13:47.344358,3.66,kmc_lora\results\Ablation_NoPhase2\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,kmc_lora\results\Ablation_NoPhase2\phase1\final,
Ablation_NoP2_P3,ok,0,2026-03-17T14:13:21.900461,2026-03-17T14:17:03.992349,3.70,kmc_lora\results\Ablation_NoPhase2\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,kmc_lora\results\Ablation_NoPhase2\phase1\final,
Ablation_NoP3_P1,ok,0,2026-03-17T14:13:47.345357,2026-03-17T14:19:04.687765,5.29,kmc_lora\results\Ablation_NoPhase3\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
Ablation_NoP3_P1,ok,0,2026-03-17T14:17:03.993349,2026-03-17T14:22:07.071003,5.05,kmc_lora\results\Ablation_NoPhase3\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
Ablation_NoP3_P2,ok,0,2026-03-17T14:19:04.688766,2026-03-17T14:23:38.786898,4.57,kmc_lora\results\Ablation_NoPhase3\phase2,kmc_lora\artifacts\phases\phase2.txt,420,0.0001,kmc_lora\results\Ablation_NoPhase3\phase1\final,
Ablation_NoP3_P2,ok,0,2026-03-17T14:22:07.071003,2026-03-17T14:26:49.710256,4.71,kmc_lora\results\Ablation_NoPhase3\phase2,kmc_lora\artifacts\phases\phase2.txt,420,0.0001,kmc_lora\results\Ablation_NoPhase3\phase1\final,
Ablation_P1Only,ok,0,2026-03-17T14:23:38.789408,2026-03-17T14:28:54.252606,5.26,kmc_lora\results\Ablation_Phase1Only\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
Ablation_P1Only,ok,0,2026-03-17T14:26:49.710256,2026-03-17T14:31:50.984012,5.02,kmc_lora\results\Ablation_Phase1Only\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
Ablation_P3Only,ok,0,2026-03-17T14:28:54.253606,2026-03-17T14:32:28.348294,3.57,kmc_lora\results\Ablation_Phase3Only\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,,
Ablation_P3Only,ok,0,2026-03-17T14:31:50.984012,2026-03-17T14:35:23.153147,3.54,kmc_lora\results\Ablation_Phase3Only\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,,
Quality_Filter,ok,0,2026-03-17T14:32:28.349350,2026-03-17T14:46:00.301246,13.53,kmc_lora\results\Quality_Filter,kmc_lora\artifacts\lists\Quality-Top.txt,1200,0.0001,,
Quality_Filter,ok,0,2026-03-17T14:35:23.153147,2026-03-17T14:49:16.880040,13.90,kmc_lora\results\Quality_Filter,kmc_lora\artifacts\lists\Quality-Top.txt,1200,0.0001,,
Anti_Curriculum,ok,0,2026-03-17T14:46:00.302246,2026-03-17T14:58:39.730241,12.66,kmc_lora\results\Anti_Curriculum,kmc_lora\artifacts\lists\AntiCurriculum.txt,1200,0.0001,,
Anti_Curriculum,ok,0,2026-03-17T14:49:16.880040,2026-03-17T15:00:46.355086,11.49,kmc_lora\results\Anti_Curriculum,kmc_lora\artifacts\lists\AntiCurriculum.txt,1200,0.0001,,
